Words,Devanagari,Root
naheri,नहेरी
gaesakyo,गएसक्यो
bhaiena,भाइएन
ekdammai,एक्दम्मै
chaini,चाईनि
paune,पौने
chahanxu,चाहान्छु
nakinda,नकिन्दा
garauna,गराउन
ghataudaina,घताउदैन
sakinu,सकिनु
bike,बिकी
aafai,आफै
geeta,गीत
banaucha,बनाउछ
niskincha,निस्किन्छ
xainw,छैन
chalaunda,चलाउन्द
banai,बनाई
yesko,येस्को
lige,लिगी
korne,कोर्ने
tapaile,तपाईले
pailei,पैलेइ
jatroo,जत्रो
dekhayara,देखायर
chahie,चाहिए
audai,आउदै
hunxa,हुन्छ
kasso,कस्सो
padna,पढ्न
bhayako,भयको
balena,बालीना
herdai,हेर्दै
aafaile,आफैले
babaal,बबाल
pataunata,पटाउनट
narayan,नारायण
tapaae,तपाइँ
chwaak,च्वाक  
chawal,चावल
naai,नै
majaley,मजाले
fuskeko,फ़ुस्केको
kinay,किने
rakhera,राखेर
hae,है
paryoo,पर्यो
samasya,समस्या
narakhda,नराख्दा
chaha,चाहा
niskeko,निस्केको
paila,पैला
babbal,बब्बाल
taipani,तैपनि
dhila,ढिला
khatey,खाते
matra,मात्र
testai,तेस्तै
lagthiyo,लग्थीयो
tikdina,तिक्दीन
linai,लिनै
sideko,सिडेको
patako,पातको
bhag,भाग्
dekhinxa,डेखिन्छ
majjale,मज्जाले
bichako,बिचको
saala,साला
nalso,नल्सो
halnuparney,हाल्नुपर्ने
autaima,एउतैमा
dekayeko,देखाएको
kassai,खास्सै
ekxin,एकछिन
aali,अलि
chalako,चलाको
diu,दिउ
bujhnai,बुझ्नै
syaano,स्यानो
kharcha,खर्च
raheko,रहेको
garnaie,गर्नै
majjala,मज्जाले
daam,दाम
auncha,आउँछ
yekdamei,एकदमैं
vannuparx,भन्नुपर्छ
garchan,गर्छन
yesko,येस्को
kotauda,कोताउद
fokat,फोकट
paxi,पछि
janera,जानेर
nalagna,नलाग्न
saraii,सारै
basdaina,बस्दैन
fulka,फूलका
samman,सम्मान
thiyo,थियो
garni,गर्नि
pheri,फेरि
dhamaka,धमाका
pari,परी
painxa,पाईन्छ
aayko,आएको
khatraa,खत्रा
niske,निस्के
dhukhae,ढुक्कै
chadyo,छाड्यो
basecha,बसेछ
kesh,केश
halako,हालको
banara,बनार
diyer,दिएर
koreko,कोरेको
rakhne,राख्ने
chapkauna,छप्काउन
kholeko,खोलेको
vayexa,भएछ
upayogi,उपायोगी
diyerako,दियेरको
ati,अती
milaera,मिलाएर
lagina,लागिन
halaye,हालै
jasari,जसरि
pathauna,पठाउन
aau,आउ
didaina,दिदैन
pauda,पाउदा
bhanera,भनेर
fohor,फोहोर
mageko,मागेको
kurti,कुर्टि
gardi,गर्दि
kasto,कस्तो
yasle,एस्ले
jathabhabi,जथाभाबि
paiso,पैसो
raamro,राम्रो
khapat,खपत
bigrine,बिग्रिने
ghatya,घत्या
lyauda,ल्याउदा
lagyu,लाग्यु
raichhaa,रैछ
manche,मान्छे
aauchha,आउछ
yakdam,एकदम
kiney,किने
ghara,घर
pachi,पछि
jyotish,ज्योतिष
gardinxu,गर्दिन्छु
bhari,भारी
jastoh,जस्तो
thikai,ठिकै
dubae,दुबै
saarai,सारै
pathaako,पठाको
satna,साट्न
painey,पाईनेय्
naarkai,नर्कै
vandaa,भन्दा
fuskei,फुस्के
baleyna,बलेन
vathyo,भाथ्यो
rahenaxa,रहेनछ
pugen,पुगेन
hulka,हुल्का
basxa,बस्छ
nadhoi,नधोइ
chapkaunu,चप्काउनु
sakina,सकिन
dhanusha,धनुष

kinyako,किनेको
bani,बानि
hundaina,हुन्दैन
jhuto,झूटो
safa,सफा
aati,अती
niskyo,निस्क्यो
sanu,सानु
gardinchan,गर्दिन्छन
fokatma,फोकटमा
banaunu,बनाउनु
adkincha,अडकिन्छ
thulei,ठुलै
banaunxa,बनाउन्छ
thulo,ठुलो
ekdammm,एकदम
rakhdinu,राख्दिनु
lagyana,लगीन
chaii,चाई
mula,मूला
chaleko,चालेको
ekdamei,एकदमै
ramroi,राम्रै
bachindo,बचिन्दो
banaune,बनाउने
sunindaina,सुनिन्दैन
vitra,भित्र
rakhayera,राखेर
pinnai,पिन्नै
chyatine,च्यातिने
banekai,बनेकै
bhayeko,भयेको
lagayesi,लागैशि
niko,निको
bachiyo,बाचियो
aakha,आखा
chhain,छैन
phata,फटा
gardae,गर्दै
hererai,हेरेरै
chaytiyeko,चय्तिएको
nalekhnu,नलेख्नु
pugdaina,पुग्दैन
fuutako,फ़ूताको
banaye,बनाये
nachalne,नचल्ने
namilne,नमिल्ने
aaux,आउछ
lagiraxa,लागिराछ 
parechha,परेछ
yesle,एस्ले
sadhai,सधै
xya,छ्या 
laai,लै
samaya,समय
payo,पायो
dinuhola,दिनुहोला
bhaeko,भएको
chalda,चल्दा
bich,बीच
sakeko,सकेको
khojeko,खोजेको
pugxa,पुग्छ
ramro,राम्रो
rupaiya,रूपैया
parnaema,पार्नैम
pathaunu,पठाउनु
aayesi,आयेसी
kaam,काम
payekoma,पाएकोमा
dekinxa,देखिन्छ
magaye,मगाए
pathaidiyo,पठाइदियो
niskeko,निस्केको
udhreko,उध्रेको
padhnai,पढ्नै
damiii,दामी



















